name,email,phone
Tendai Moyo,tendai.moyo@gmail.com,+263771234567
Nyasha Chikafu,nyasha.chikafu@yahoo.com,+263772345678
Tatenda Dube,tatenda.dube@gmail.com,+263773456789
Rudo Ndlovu,rudo.ndlovu@gmail.com,+263774567890
Blessing Zhou,blessing.zhou@yahoo.com,+263775678901
Farai Mutasa,farai.mutasa@gmail.com,+263776789012
Chipo Gutu,chipo.gutu@gmail.com,+263777890123
Simbarashe Hove,simba.hove@yahoo.com,+263778901234
Memory Chirwa,memory.chirwa@gmail.com,+263779012345
Tawanda Mudzimu,tawanda.mudzimu@gmail.com,+263770123456
